基金代码,基金名称,基金类型,限购额度情况,狭义海外AI占比,扩展海外AI占比,广义离岸AI占比,匹配持仓数,核心持仓摘要
009682,南方创新精选一年定开混合C,混合型-偏股,暂停申购；当前不可场外申购；下一开放日2026-07-21；数据日05-25,0.00%,0.00%,5.81%,1,腾讯控股 5.81%
009681,南方创新精选一年定开混合A,混合型-偏股,暂停申购；当前不可场外申购；下一开放日2026-07-21；数据日05-25,0.00%,0.00%,5.81%,1,腾讯控股 5.81%
009696,招商成长精选一年定开混合C,混合型-偏股,暂停申购；当前不可场外申购；下一开放日2026-11-02；数据日05-25,0.00%,0.00%,4.99%,1,腾讯控股 4.99%
009692,国泰浩益混合C,混合型-偏债,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.96%,1,腾讯控股 0.96%
009690,易方达瑞锦混合C,混合型-灵活,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.42%,1,阿里巴巴-W 0.42%
009704,南方景气驱动混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.83%,1,腾讯控股 4.83%
009695,招商成长精选一年定开混合A,混合型-偏股,暂停申购；当前不可场外申购；下一开放日2026-11-02；数据日05-25,0.00%,0.00%,4.99%,1,腾讯控股 4.99%
009707,工银新兴制造混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.27%,1,中芯国际 4.27%
009691,国泰浩益混合A,混合型-偏债,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.96%,1,腾讯控股 0.96%
009697,华夏成长精选6个月定开混合A,混合型-偏股,暂停申购；当前不可场外申购；下一开放日2026-09-03；数据日05-25,0.00%,0.00%,13.53%,2,腾讯控股 8.50%; 阿里巴巴-W 5.03%
009698,华夏成长精选6个月定开混合C,混合型-偏股,暂停申购；当前不可场外申购；下一开放日2026-09-03；数据日05-25,0.00%,0.00%,13.53%,2,腾讯控股 8.50%; 阿里巴巴-W 5.03%
009705,南方景气驱动混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.83%,1,腾讯控股 4.83%
009708,工银新兴制造混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.27%,1,中芯国际 4.27%
009725,东方红优质甄选一年持有混合A,混合型-偏债,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.35%,1,腾讯控股 0.35%
009740,博时研究臻选持有期混合A,混合型-灵活,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,3.08%,1,腾讯控股 3.08%
009741,博时研究臻选持有期混合C,混合型-灵活,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,3.08%,1,腾讯控股 3.08%
009777,中欧阿尔法混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,6.78%,1,阿里巴巴-W 6.78%
009776,中欧阿尔法混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,6.78%,1,阿里巴巴-W 6.78%
009806,东方红招盈甄选一年混合A,混合型-偏债,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,2.45%,2,腾讯控股 1.36%; 阿里巴巴-W 1.09%
009807,东方红招盈甄选一年混合C,混合型-偏债,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,2.45%,2,腾讯控股 1.36%; 阿里巴巴-W 1.09%
009795,嘉实远见精选两年持有期混合,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.17%,1,腾讯控股 4.17%
009846,国富港股通远见价值混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,17.97%,4,阿里巴巴-W 5.96%; 腾讯控股 5.67%; 中芯国际 3.32%; 金山云 3.02%
009842,东方红明鉴优选两年定开混合,混合型-偏债,暂停申购；当前不可场外申购；下一开放日2026-12-21；数据日05-22,0.00%,0.00%,2.10%,4,小米集团-W 0.84%; 腾讯控股 0.49%; 阿里巴巴-W 0.43%; 中芯国际 0.34%
009857,博时价值臻选持有期混合A,混合型-灵活,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.37%,1,阿里巴巴-W 4.37%
009858,博时价值臻选持有期混合C,混合型-灵活,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.37%,1,阿里巴巴-W 4.37%
009852,银华品质消费股票A,股票型,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,12.44%,2,阿里巴巴-W 6.75%; 腾讯控股 5.69%
009859,银华乐享混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,2.58%,1,华虹半导体 2.58%
009863,富国创新趋势股票A,股票型,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,8.48%,1,腾讯控股 8.48%
009879,平安低碳经济混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,3.57%,1,阿里巴巴-W 3.57%
009891,融通产业趋势臻选股票A,股票型,限大额；起购10元；日累计500万；数据日05-25,0.00%,0.00%,4.82%,1,腾讯控股 4.82%
009896,广发港股通成长精选股票A,股票型,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,30.90%,5,腾讯控股 7.83%; 阿里巴巴-W 7.56%; 中芯国际 6.12%; 华虹半导体 5.30%; 地平线机器人-W 4.09%
009878,平安低碳经济混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,3.57%,1,阿里巴巴-W 3.57%
009897,广发港股通成长精选股票C,股票型,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,30.90%,5,腾讯控股 7.83%; 阿里巴巴-W 7.56%; 中芯国际 6.12%; 华虹半导体 5.30%; 地平线机器人-W 4.09%
009914,富国成长动力混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,8.40%,1,腾讯控股 8.40%
009929,南方创新驱动混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,5.81%,1,腾讯控股 5.81%
009930,南方创新驱动混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,5.81%,1,腾讯控股 5.81%
009960,银华多元机遇混合,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,10.08%,3,腾讯控股 4.13%; 阿里巴巴-W 4.03%; 华虹半导体 1.92%
009978,银华招利一年持有期混合C,混合型-偏债,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,3.84%,3,腾讯控股 1.93%; 阿里巴巴-W 1.11%; 中芯国际 0.80%
009977,银华招利一年持有期混合A,混合型-偏债,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,3.84%,3,腾讯控股 1.93%; 阿里巴巴-W 1.11%; 中芯国际 0.80%
009984,鹏华启航混合,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,5.88%,1,阿里巴巴-W 5.88%
009998,摩根慧见两年持有期混合,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,3.22%,1,腾讯控股 3.22%
010003,景顺长城电子信息产业股票A,股票型,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,5.55%,1,中芯国际 5.55%
010004,景顺长城电子信息产业股票C,股票型,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,5.55%,1,中芯国际 5.55%
010019,招商瑞泽一年持有期混合C,混合型-偏债,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.38%,1,腾讯控股 0.38%
010018,招商瑞泽一年持有期混合A,混合型-偏债,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.38%,1,腾讯控股 0.38%
009983,永赢港股通品质生活慧选混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.60%,1,腾讯控股 4.60%
010010,国投瑞银港股通6个月定开股票,股票型,暂停申购；当前不可场外申购；下一开放日2026-08-27；数据日05-25,0.00%,0.00%,15.60%,2,腾讯控股 9.63%; 阿里巴巴-W 5.97%
010024,广发沪港深新起点股票C,股票型,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,17.08%,3,腾讯控股 7.04%; 阿里巴巴-W 5.55%; 华虹半导体 4.49%
010030,富国稳进回报12个月持有期混合C,混合型-偏债,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.26%,1,腾讯控股 0.26%
010041,嘉实港股优势混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,6.84%,1,腾讯控股 6.84%
010029,富国稳进回报12个月持有期混合A,混合型-偏债,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.26%,1,腾讯控股 0.26%
010027,景顺长城核心中景一年持有混合,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,7.36%,2,腾讯控股 4.35%; 阿里巴巴-W 3.01%
010045,汇添富稳健添盈一年持有混合,混合型-偏债,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.83%,1,腾讯控股 0.83%
010054,万家健康产业混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,7.66%,1,晶泰控股 7.66%
010062,南方行业精选一年混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,6.61%,1,腾讯控股 6.61%
010042,嘉实港股优势混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,6.84%,1,腾讯控股 6.84%
010063,南方行业精选一年混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,6.61%,1,腾讯控股 6.61%
010068,工银双盈债券A,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,7.21%,3,腾讯控股 2.51%; 阿里巴巴-W 2.49%; 小米集团-W 2.21%
010069,工银双盈债券C,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,7.21%,3,腾讯控股 2.51%; 阿里巴巴-W 2.49%; 小米集团-W 2.21%
010055,万家健康产业混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,7.66%,1,晶泰控股 7.66%
010102,西部利得鑫泓增强债券A,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.46%,1,腾讯控股 0.46%
010105,景顺长城消费精选混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.82%,1,腾讯控股 4.82%
010094,交银产业机遇混合,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,12.52%,2,腾讯控股 8.90%; 阿里巴巴-W 3.62%
010116,民生加银新兴产业混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,5.92%,1,腾讯控股 5.92%
010103,西部利得鑫泓增强债券C,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.46%,1,腾讯控股 0.46%
010117,民生加银新兴产业混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,5.92%,1,腾讯控股 5.92%
010104,景顺长城消费精选混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.82%,1,腾讯控股 4.82%
010142,朱雀企业优选C,股票型,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,13.81%,2,中芯国际 9.04%; 腾讯控股 4.77%
010135,宏利高研发6个月持有混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,8.24%,1,中芯国际 8.24%
010143,交银施罗德启欣混合,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,12.23%,2,腾讯控股 8.19%; 阿里巴巴-W 4.04%
010136,宏利高研发6个月持有混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,8.24%,1,中芯国际 8.24%
010132,南方创新成长混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,5.02%,1,腾讯控股 5.02%
010133,南方创新成长混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,5.02%,1,腾讯控股 5.02%
010141,朱雀企业优选A,股票型,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,13.81%,2,中芯国际 9.04%; 腾讯控股 4.77%
010177,中加新兴消费混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,12.14%,2,腾讯控股 8.22%; 阿里巴巴-W 3.92%
010166,招商兴和优选1年持有期混合,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.52%,1,阿里巴巴-W 4.52%
010179,大成企业能力驱动混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.81%,1,腾讯控股 4.81%
010176,中加新兴消费混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,12.14%,2,腾讯控股 8.22%; 阿里巴巴-W 3.92%
010180,华夏科技龙头两年持有混合,混合型-偏股,开放申购；起购1元；日累计0元；数据日05-25,0.00%,0.00%,5.19%,1,华虹半导体 5.19%
010178,大成企业能力驱动混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.81%,1,腾讯控股 4.81%
010213,中欧互联网先锋混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,17.73%,2,阿里巴巴-W 8.90%; 腾讯控股 8.83%
010204,中银港股通优势成长股票,股票型,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,9.34%,2,腾讯控股 4.89%; 阿里巴巴-W 4.45%
010197,易方达核心优势股票C,股票型,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,12.65%,2,阿里巴巴-W 6.49%; 腾讯控股 6.16%
010196,易方达核心优势股票A,股票型,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,12.65%,2,阿里巴巴-W 6.49%; 腾讯控股 6.16%
010225,东方红启航三年持有混合B,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,3.57%,1,中芯国际 3.57%
010230,南方宝昌混合A,混合型-偏债,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,1.02%,1,腾讯控股 1.02%
010231,南方宝昌混合C,混合型-偏债,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,1.02%,1,腾讯控股 1.02%
010219,汇添富稳健添益一年持有混合,混合型-偏债,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,1.66%,1,腾讯控股 1.66%
010214,中欧互联网先锋混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,17.73%,2,阿里巴巴-W 8.90%; 腾讯控股 8.83%
010265,鹏华成长智选混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,1.96%,2,中芯国际 1.01%; 华虹半导体 0.95%
010264,鹏华成长智选混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,1.96%,2,中芯国际 1.01%; 华虹半导体 0.95%
010272,国富价值成长一年持有期混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,12.38%,2,阿里巴巴-W 6.21%; 腾讯控股 6.17%
010271,国富价值成长一年持有期混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,12.38%,2,阿里巴巴-W 6.21%; 腾讯控股 6.17%
010289,景顺长城产业趋势混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,8.62%,2,腾讯控股 5.84%; 阿里巴巴-W 2.78%
010292,东方红核心优选定开混合C,混合型-偏债,暂停申购；当前不可场外申购；下一开放日2027-02-12；数据日05-22,0.00%,0.00%,0.58%,1,腾讯控股 0.58%
010305,华夏创新驱动混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,10.39%,2,腾讯控股 5.31%; 阿里巴巴-W 5.08%
010298,汇添富品牌驱动六个月持有混合,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,6.76%,1,阿里巴巴-W 6.76%
010301,达诚成长先锋混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,8.43%,1,阿里巴巴-W 8.43%
010302,达诚成长先锋混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,8.43%,1,阿里巴巴-W 8.43%
010306,华夏创新驱动混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,10.39%,2,腾讯控股 5.31%; 阿里巴巴-W 5.08%
010340,易方达高质量严选三年持有,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,8.17%,2,腾讯控股 4.15%; 阿里巴巴-W 4.02%
010333,华夏核心资产混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,8.70%,3,腾讯控股 3.48%; 阿里巴巴-W 2.87%; 中芯国际 2.35%
010334,华夏核心资产混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,8.70%,3,腾讯控股 3.48%; 阿里巴巴-W 2.87%; 中芯国际 2.35%
010335,华宝竞争优势混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,3.53%,1,中芯国际 3.53%
010338,国投瑞银远见成长混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.04%,1,腾讯控股 4.04%
010339,国投瑞银远见成长混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.04%,1,腾讯控股 4.04%
010336,中欧悦享生活混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,6.09%,1,腾讯控股 6.09%
010350,景顺长城品质长青混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,9.69%,1,腾讯控股 9.69%
010337,中欧悦享生活混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,6.09%,1,腾讯控股 6.09%
010362,嘉实品质优选股票C,股票型,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,7.65%,2,中芯国际 3.84%; 华虹半导体 3.81%
010361,嘉实品质优选股票A,股票型,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,7.65%,2,中芯国际 3.84%; 华虹半导体 3.81%
010383,宝盈基础产业混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,8.89%,2,阿里巴巴-W 5.39%; 腾讯控股 3.50%
010384,宝盈基础产业混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,8.89%,2,阿里巴巴-W 5.39%; 腾讯控股 3.50%
010391,易方达战略新兴产业股票A,股票型,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,3.09%,1,中芯国际 3.09%
010389,易方达科益混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,7.54%,1,阿里巴巴-W 7.54%
010411,长城品质成长混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,8.23%,2,腾讯控股 4.58%; 阿里巴巴-W 3.65%
010392,易方达战略新兴产业股票C,股票型,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,3.09%,1,中芯国际 3.09%
010410,长城品质成长混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,8.23%,2,腾讯控股 4.58%; 阿里巴巴-W 3.65%
010409,富国消费精选30股票A,股票型,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.13%,1,腾讯控股 4.13%
010390,易方达科益混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,7.54%,1,阿里巴巴-W 7.54%
010431,招商安阳债券C,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.55%,1,腾讯控股 0.55%
010429,中欧睿见混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,11.92%,2,阿里巴巴-W 6.31%; 腾讯控股 5.61%
010430,招商安阳债券A,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.55%,1,腾讯控股 0.55%
010441,东方红启兴三年持有混合B,混合型-偏股,开放申购；起购10元；日累计0元；数据日05-25,0.00%,0.00%,7.81%,1,阿里巴巴-W 7.81%
010420,民生加银成长优选股票A,股票型,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,6.10%,1,腾讯控股 6.10%
010442,东方红启盛三年持有混合B,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,11.11%,2,阿里巴巴-W 6.21%; 中芯国际 4.90%
010438,嘉实竞争力优选混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,10.19%,2,腾讯控股 5.93%; 阿里巴巴-W 4.26%
010450,广发恒悦债券C,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.47%,1,腾讯控股 0.47%
010451,广发恒悦债券E,债券型-混合二级,限大额；起购10元；日累计50万；数据日05-25,0.00%,0.00%,0.47%,1,腾讯控股 0.47%
010445,南方誉尚一年持有期混合C,混合型-偏债,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,2.00%,1,腾讯控股 2.00%
010444,南方誉尚一年持有期混合A,混合型-偏债,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,2.00%,1,腾讯控股 2.00%
010437,嘉实竞争力优选混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,10.19%,2,腾讯控股 5.93%; 阿里巴巴-W 4.26%
010449,广发恒悦债券A,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.47%,1,腾讯控股 0.47%
010456,博时产业精选混合C,混合型-灵活,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,11.30%,2,中芯国际 7.38%; 华虹半导体 3.92%
010455,博时产业精选混合A,混合型-灵活,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,11.30%,2,中芯国际 7.38%; 华虹半导体 3.92%
010457,广发睿鑫混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.69%,1,腾讯控股 4.69%
010453,广发瑞福精选混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,3.35%,1,中芯国际 3.35%
010458,广发睿鑫混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.69%,1,腾讯控股 4.69%
010483,交银启道混合,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,12.49%,2,腾讯控股 8.45%; 阿里巴巴-W 4.04%
010480,汇添富稳进双盈一年持有混合,混合型-偏债,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.82%,1,腾讯控股 0.82%
010519,华夏先锋科技一年定开混合C,混合型-偏股,暂停申购；当前不可场外申购；下一开放日2027-05-07；数据日05-25,0.00%,0.00%,11.21%,2,中芯国际 6.13%; 腾讯控股 5.08%
010518,华夏先锋科技一年定开混合A,混合型-偏股,暂停申购；当前不可场外申购；下一开放日2027-05-07；数据日05-25,0.00%,0.00%,11.21%,2,中芯国际 6.13%; 腾讯控股 5.08%
010537,泰康优势企业混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,8.82%,1,腾讯控股 8.82%
010536,泰康优势企业混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,8.82%,1,腾讯控股 8.82%
010551,淳厚欣颐一年持有期混合,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,16.96%,2,腾讯控股 9.21%; 阿里巴巴-W 7.75%
010555,华安新兴消费混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,5.40%,1,阿里巴巴-W 5.40%
010554,华安新兴消费混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,5.40%,1,阿里巴巴-W 5.40%
010587,鹏扬先进制造混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.78%,1,中芯国际 4.78%
010583,富国蓝筹精选股票(QDII)美元,QDII-普通股票,限大额；起购1元；日累计0元；数据日05-22,0.00%,0.00%,9.39%,2,腾讯控股 5.19%; 阿里巴巴-W 4.20%
010591,富国中国中小盘混合(QDII)美元,QDII-混合偏股,开放申购；起购1元；日累计0元；数据日05-22,0.00%,0.00%,4.97%,1,腾讯控股 4.97%
010590,鹏扬景安一年持有期混合C,混合型-偏债,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,1.44%,1,腾讯控股 1.44%
010599,汇添富高质量成长30一年混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.76%,1,腾讯控股 4.76%
010589,鹏扬景安一年持有期混合A,混合型-偏债,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,1.44%,1,腾讯控股 1.44%
010588,鹏扬先进制造混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.78%,1,中芯国际 4.78%
010610,摩根远见两年持有期混合,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,13.06%,3,腾讯控股 7.13%; 中芯国际 3.17%; 阿里巴巴-W 2.76%
010600,光大安瑞一年持有A,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,1.07%,1,腾讯控股 1.07%
010602,长城均衡优选混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,5.56%,2,阿里巴巴-W 2.83%; 腾讯控股 2.73%
010601,光大安瑞一年持有C,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,1.07%,1,腾讯控股 1.07%
010662,富国均衡优选混合,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,5.91%,1,中芯国际 5.91%
010692,华夏核心价值混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,1.89%,1,阿里巴巴-W 1.89%
010667,安信价值回报三年持有混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,9.04%,1,腾讯控股 9.04%
010681,华夏新兴成长股票C,股票型,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,10.82%,2,腾讯控股 5.69%; 阿里巴巴-W 5.13%
010680,华夏新兴成长股票A,股票型,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,10.82%,2,腾讯控股 5.69%; 阿里巴巴-W 5.13%
010688,招商瑞德一年持有期混合A,混合型-偏债,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,3.29%,2,腾讯控股 1.84%; 阿里巴巴-W 1.45%
010697,国联行业先锋6个月持有混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,9.10%,1,腾讯控股 9.10%
