基金代码,基金名称,基金类型,限购额度情况,狭义海外AI占比,扩展海外AI占比,广义离岸AI占比,匹配持仓数,核心持仓摘要
022700,睿远港股通核心价值混合A,混合型-偏股,暂停申购；当前不可场外申购；数据日05-25,0.00%,0.00%,13.67%,2,腾讯控股 9.00%; 阿里巴巴-W 4.67%
022704,银河科技成长混合发起式A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.19%,1,华虹半导体 4.19%
022701,睿远港股通核心价值混合C,混合型-偏股,暂停申购；当前不可场外申购；数据日05-25,0.00%,0.00%,13.67%,2,腾讯控股 9.00%; 阿里巴巴-W 4.67%
022705,银河科技成长混合发起式C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.19%,1,华虹半导体 4.19%
022834,鹏华中证沪港深科技龙头指数(LOF)I,指数型-股票,限大额；起购10元；日累计0元；数据日05-25,0.00%,0.00%,25.69%,4,腾讯控股 8.40%; 阿里巴巴-W 8.19%; 小米集团-W 5.87%; 中芯国际 3.23%
022914,易方达沪深300精选增强Y,指数型-股票,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,5.32%,2,阿里巴巴-W 3.95%; 中芯国际 1.37%
023005,广发养老目标2055五年持有混合发起式(FOF),FOF-均衡型,开放申购；起购10元；日累计无限额；数据日05-21,0.00%,0.00%,1.63%,2,阿里巴巴-W 0.92%; 腾讯控股 0.71%
023034,中欧恒生科技指数发起(QDII)A,指数型-海外股票,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,31.57%,5,小米集团-W 7.71%; 腾讯控股 7.34%; 阿里巴巴-W 6.83%; 中芯国际 6.05%; 百度集团-SW 3.64%
023035,中欧恒生科技指数发起(QDII)C,指数型-海外股票,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,31.57%,5,小米集团-W 7.71%; 腾讯控股 7.34%; 阿里巴巴-W 6.83%; 中芯国际 6.05%; 百度集团-SW 3.64%
023041,中欧多利债券C,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.78%,2,腾讯控股 0.46%; 阿里巴巴-W 0.32%
023040,中欧多利债券A,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.78%,2,腾讯控股 0.46%; 阿里巴巴-W 0.32%
023045,太平科技先锋混合发起式C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,11.91%,2,华虹半导体 6.56%; 中芯国际 5.35%
023044,太平科技先锋混合发起式A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,11.91%,2,华虹半导体 6.56%; 中芯国际 5.35%
023063,国投瑞银和宜债券E,债券型-混合二级,开放申购；起购1元；日累计0元；数据日05-25,0.00%,0.00%,0.37%,1,腾讯控股 0.37%
023049,南方宝顺混合E,混合型-偏债,限大额；起购10元；日累计0元；数据日05-25,0.00%,0.00%,0.62%,1,腾讯控股 0.62%
023081,南方致远混合E,混合型-偏债,限大额；起购10元；日累计5000万；数据日05-25,0.00%,0.00%,0.47%,1,腾讯控股 0.47%
023102,招商和惠养老目标日期2045五年持有期混合发起式(FOF)Y,FOF-均衡型,开放申购；起购10元；日累计无限额；数据日05-21,0.00%,0.00%,0.41%,1,腾讯控股 0.41%
023094,安信中国制造混合C,混合型-灵活,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,6.42%,1,腾讯控股 6.42%
023176,中邮沪港深精选混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,32.39%,5,腾讯控股 9.21%; 阿里巴巴-W 8.64%; 中芯国际 7.61%; 小米集团-W 4.21%; 华虹半导体 2.72%
023189,平安添润债券E,债券型-混合二级,限大额；起购10元；日累计1000万；数据日05-25,0.00%,0.00%,1.28%,2,腾讯控股 0.76%; 阿里巴巴-W 0.52%
023193,景顺长城产业趋势混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,8.62%,2,腾讯控股 5.84%; 阿里巴巴-W 2.78%
023202,兴全中证沪港深500指数增强C,指数型-股票,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,9.84%,2,阿里巴巴-W 4.94%; 腾讯控股 4.90%
023201,兴全中证沪港深500指数增强A,指数型-股票,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,9.84%,2,阿里巴巴-W 4.94%; 腾讯控股 4.90%
023203,兴全中证沪港深300指数增强A,指数型-股票,暂停申购；当前不可场外申购；数据日05-25,0.00%,0.00%,6.19%,2,腾讯控股 3.59%; 阿里巴巴-W 2.60%
023214,中泰双鑫6个月持有债券A,债券型-混合二级,限大额；起购100元；日累计0元；数据日05-25,0.00%,0.00%,0.17%,1,阿里巴巴-W 0.17%
023204,兴全中证沪港深300指数增强C,指数型-股票,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,6.19%,2,腾讯控股 3.59%; 阿里巴巴-W 2.60%
023215,中泰双鑫6个月持有债券C,债券型-混合二级,限大额；起购100元；日累计0元；数据日05-25,0.00%,0.00%,0.17%,1,阿里巴巴-W 0.17%
023276,中银淳利三个月持有债券C,债券型-混合二级,开放申购；起购0元；日累计0元；数据日05-25,0.00%,0.00%,0.29%,1,阿里巴巴-W 0.29%
023275,中银淳利三个月持有债券A,债券型-混合二级,开放申购；起购0元；日累计0元；数据日05-25,0.00%,0.00%,0.29%,1,阿里巴巴-W 0.29%
023310,博时恒泰债券E,债券型-混合二级,开放申购；起购10万；日累计0元；数据日05-25,0.00%,0.00%,1.21%,1,腾讯控股 1.21%
023363,鹏扬研究精选混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,6.04%,2,阿里巴巴-W 3.07%; 腾讯控股 2.97%
023392,景顺长城稳健增益债券F,债券型-混合二级,开放申购；起购1000元；日累计无限额；数据日05-25,0.00%,0.00%,1.69%,3,腾讯控股 0.93%; 阿里巴巴-W 0.40%; 中芯国际 0.36%
023398,尚正研究睿选混合发起C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,5.24%,1,阿里巴巴-W 5.24%
023397,尚正研究睿选混合发起A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,5.24%,1,阿里巴巴-W 5.24%
023452,中欧信息科技混合发起C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,3.81%,1,腾讯控股 3.81%
023455,汇添富增强回报债券A,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.81%,1,腾讯控股 0.81%
023456,汇添富增强回报债券C,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.81%,1,腾讯控股 0.81%
023451,中欧信息科技混合发起A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,3.81%,1,腾讯控股 3.81%
023465,国投瑞银和兴债券E,债券型-混合二级,限大额；起购1元；日累计0元；数据日05-25,0.00%,0.00%,0.75%,1,腾讯控股 0.75%
023543,平安恒鑫混合E,混合型-偏债,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.76%,1,腾讯控股 0.76%
023560,富达创新驱动混合发起A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,7.50%,1,晶泰控股 7.50%
023561,富达创新驱动混合发起C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,7.50%,1,晶泰控股 7.50%
023633,景顺长城新兴产业混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,7.64%,1,腾讯控股 7.64%
023632,景顺长城新兴产业混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,7.64%,1,腾讯控股 7.64%
023673,东方红裕丰回报债券C,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,2.26%,2,阿里巴巴-W 1.13%; 腾讯控股 1.13%
023672,东方红裕丰回报债券A,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,2.26%,2,阿里巴巴-W 1.13%; 腾讯控股 1.13%
023751,百嘉百瑞混合发起式C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,12.95%,2,阿里巴巴-W 6.85%; 金山云 6.10%
023750,国富兴海回报混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,7.16%,1,腾讯控股 7.16%
023783,山证资管裕享增强债券发起式E,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.48%,1,腾讯控股 0.48%
023812,兴业恒泰债券C,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.32%,1,腾讯控股 0.32%
023811,兴业恒泰债券A,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.32%,1,腾讯控股 0.32%
023839,银华甄选价值回报混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,3.29%,1,腾讯控股 3.29%
023854,景顺长城沪港深领先科技股票C,股票型,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,9.13%,2,腾讯控股 6.24%; 阿里巴巴-W 2.89%
023840,银华甄选价值回报混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,3.29%,1,腾讯控股 3.29%
023868,华宝安盈混合C,混合型-偏债,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.94%,2,腾讯控股 0.53%; 金山云 0.41%
023900,富达港股通精选混合发起C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,9.19%,1,晶泰控股 9.19%
023899,富达港股通精选混合发起A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,9.19%,1,晶泰控股 9.19%
023943,天弘安和平衡混合A,混合型-灵活,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,1.16%,1,腾讯控股 1.16%
023940,泉果研究精选混合C,混合型-灵活,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,9.86%,2,腾讯控股 6.12%; 阿里巴巴-W 3.74%
023944,天弘安和平衡混合C,混合型-灵活,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,1.16%,1,腾讯控股 1.16%
023955,国金安瑞平衡A,混合型-平衡,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.05%,1,阿里巴巴-W 4.05%
023939,泉果研究精选混合A,混合型-灵活,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,9.86%,2,腾讯控股 6.12%; 阿里巴巴-W 3.74%
023956,国金安瑞平衡C,混合型-平衡,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.05%,1,阿里巴巴-W 4.05%
023948,银华品质消费股票C,股票型,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,12.44%,2,阿里巴巴-W 6.75%; 腾讯控股 5.69%
024028,招商均衡优选混合C,混合型-偏股,开放申购；起购1元；日累计0元；数据日09-04,0.00%,0.00%,6.56%,1,阿里巴巴-W 6.56%
024027,招商均衡优选混合A,混合型-偏股,开放申购；起购1元；日累计0元；数据日05-25,0.00%,0.00%,6.56%,1,阿里巴巴-W 6.56%
024041,光大阳光三个月持有期混合(FOF)C,FOF-进取型,开放申购；起购10元；日累计无限额；数据日05-21,0.00%,0.00%,0.28%,1,金山云 0.28%
024053,工银科技先锋混合发起式C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,5.97%,1,腾讯控股 5.97%
024052,工银科技先锋混合发起式A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,5.97%,1,腾讯控股 5.97%
024045,东方红港股通价值优选混合发起C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,7.43%,1,阿里巴巴-W 7.43%
024044,东方红港股通价值优选混合发起A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,7.43%,1,阿里巴巴-W 7.43%
024040,光大阳光三个月持有期混合(FOF)A,FOF-进取型,开放申购；起购10元；日累计无限额；数据日05-21,0.00%,0.00%,0.28%,1,金山云 0.28%
024089,银华钰丰债券A,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.58%,1,腾讯控股 0.58%
024088,百嘉科技创新混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,6.71%,1,阿里巴巴-W 6.71%
024087,百嘉科技创新混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,6.71%,1,阿里巴巴-W 6.71%
024096,国寿安保尊兴增强回报债券C,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.16%,1,腾讯控股 0.16%
024090,银华钰丰债券C,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.58%,1,腾讯控股 0.58%
024092,国金安和债券A,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.75%,2,腾讯控股 0.43%; 阿里巴巴-W 0.32%
024095,国寿安保尊兴增强回报债券A,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.16%,1,腾讯控股 0.16%
024093,国金安和债券C,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.75%,2,腾讯控股 0.43%; 阿里巴巴-W 0.32%
024135,中泰双益债券A,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.19%,1,阿里巴巴-W 0.19%
024136,中泰双益债券C,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.19%,1,阿里巴巴-W 0.19%
