基金代码,基金名称,基金类型,拼音缩写,拼音全称,是否QDII
021888,光大永利债券D,债券型-长债,GDYLZQD,GUANGDAYONGLIZHAIQUAND,
021889,中欧中证A50指数A,指数型-股票,ZOZZA50ZSA,ZHONGOUZHONGZHENGA50ZHISHUA,
021890,中欧中证A50指数C,指数型-股票,ZOZZA50ZSC,ZHONGOUZHONGZHENGA50ZHISHUC,
021891,融通中证港股通科技指数A,指数型-股票,RTZZGGTKJZSA,RONGTONGZHONGZHENGGANGGUTONGKEJIZHISHUA,
021892,融通中证港股通科技指数C,指数型-股票,RTZZGGTKJZSC,RONGTONGZHONGZHENGGANGGUTONGKEJIZHISHUC,
021893,易方达半导体设备ETF联接A,指数型-股票,YFDBDTSBETFLJA,YIFANGDABANDAOTISHEBEIETFLIANJIEA,
021894,易方达半导体设备ETF联接C,指数型-股票,YFDBDTSBETFLJC,YIFANGDABANDAOTISHEBEIETFLIANJIEC,
021895,国投瑞银中证机器人指数发起式A,指数型-股票,GTRYZZJQRZSFQSA,GUOTOURUIYINZHONGZHENGJIQIRENZHISHUFAQISHIA,
021896,国投瑞银中证机器人指数发起式C,指数型-股票,GTRYZZJQRZSFQSC,GUOTOURUIYINZHONGZHENGJIQIRENZHISHUFAQISHIC,
021897,广发景兴中短债E,债券型-中短债,GFJXZDZE,GUANGFAJINGXINGZHONGDUANZHAIE,
021898,易方达汇享稳健养老一年持有混合(FOF)Y,FOF-稳健型,YFDHXWJYLYNCYHHFOFY,YIFANGDAHUIXIANGWENJIANYANGLAOYINIANCHIYOUHUNHEFOFY,
021899,融通品质优选混合A,混合型-偏股,RTPZYXHHA,RONGTONGPINZHIYOUXUANHUNHEA,
021900,融通品质优选混合C,混合型-偏股,RTPZYXHHC,RONGTONGPINZHIYOUXUANHUNHEC,
021901,平安惠轩纯债C,债券型-长债,PAHXCZC,PINGANHUIXUANCHUNZHAIC,
