基金代码,基金名称,基金类型,证券代码,证券名称,标准名称,主题,占净值比例,持仓市值(万元),持股数(万股),原始重复行数
019448,华夏全球科技先锋混合(QDII)A(美元现钞),QDII-混合偏股,SNDK,闪迪,闪迪,存储,2.66%,,2.84,1
019448,华夏全球科技先锋混合(QDII)A(美元现钞),QDII-混合偏股,MU,美光科技,美光科技,存储,2.30%,,4.61,1
019448,华夏全球科技先锋混合(QDII)A(美元现钞),QDII-混合偏股,TSM,台积电,台积电ADR,电芯片/核心半导体,4.87%,,9.77,1
019450,摩根欧洲动力策略股票(QDII)C,QDII-普通股票,ASML,阿斯麦控股公司,阿斯麦,电芯片/核心半导体,4.27%,,0.39,1
019498,兴全创新优势混合A,混合型-偏股,00981,中芯国际,中芯国际H,电芯片/核心半导体,4.66%,1430.26,31.95,1
019499,兴全创新优势混合C,混合型-偏股,00981,中芯国际,中芯国际H,电芯片/核心半导体,4.66%,1430.26,31.95,1
019546,汇添富上证50基本面增强指数D,指数型-股票,00981,中芯国际,中芯国际H,电芯片/核心半导体,3.55%,105.2,2.35,1
019549,华夏全球股票美元现汇(QDII),QDII-普通股票,LITE,Lumentum Holdings Inc,Lumentum,光芯片/光通信,1.56%,,0.83,1
019549,华夏全球股票美元现汇(QDII),QDII-普通股票,MU,美光科技,美光科技,存储,1.77%,,1.94,1
019549,华夏全球股票美元现汇(QDII),QDII-普通股票,NVDA,英伟达,英伟达,电芯片/核心半导体,3.34%,,7.11,1
019549,华夏全球股票美元现汇(QDII),QDII-普通股票,TSM,台积电,台积电ADR,电芯片/核心半导体,2.68%,,2.95,1
019549,华夏全球股票美元现汇(QDII),QDII-普通股票,AVGO,博通,博通,电芯片/核心半导体,2.17%,,2.6,1
019550,华夏全球股票美元现钞(QDII),QDII-普通股票,LITE,Lumentum Holdings Inc,Lumentum,光芯片/光通信,1.56%,,0.83,1
019550,华夏全球股票美元现钞(QDII),QDII-普通股票,MU,美光科技,美光科技,存储,1.77%,,1.94,1
019550,华夏全球股票美元现钞(QDII),QDII-普通股票,NVDA,英伟达,英伟达,电芯片/核心半导体,3.34%,,7.11,1
019550,华夏全球股票美元现钞(QDII),QDII-普通股票,TSM,台积电,台积电ADR,电芯片/核心半导体,2.68%,,2.95,1
019550,华夏全球股票美元现钞(QDII),QDII-普通股票,AVGO,博通,博通,电芯片/核心半导体,2.17%,,2.6,1
019641,摩根亚太优势混合(QDII)C,QDII-混合偏股,005930,三星电子,三星电子,存储,5.67%,,17.7,1
019641,摩根亚太优势混合(QDII)C,QDII-混合偏股,2330,台积电,台积电,电芯片/核心半导体,9.65%,,59.7,1
019641,摩根亚太优势混合(QDII)C,QDII-混合偏股,2308,台达电,台达电,电芯片/核心半导体,2.40%,,18.9,1
019659,万家养老目标2045三年持有混合发起式(FOF),FOF-均衡型,00981,中芯国际,中芯国际H,电芯片/核心半导体,0.18%,2.24,0.05,1
019690,华商产业机遇混合A,混合型-偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,3.53%,191.92,1.19,1
019691,华商产业机遇混合C,混合型-偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,3.53%,191.92,1.19,1
019736,宝盈纳斯达克100指数发起(QDII)A人民币,指数型-海外股票,NVDA,英伟达,英伟达,电芯片/核心半导体,8.20%,,5.59,1
019736,宝盈纳斯达克100指数发起(QDII)A人民币,指数型-海外股票,AVGO,博通,博通,电芯片/核心半导体,2.85%,,1.09,1
019737,宝盈纳斯达克100指数发起(QDII)C人民币,指数型-海外股票,NVDA,英伟达,英伟达,电芯片/核心半导体,8.20%,,5.59,1
