基金代码,基金名称,基金类型,AXTI占比,存储占比,光芯片/光通信占比,电芯片/核心半导体占比,合计占比,匹配持仓数,核心持仓摘要
013346,富荣信息技术混合C,混合型-偏股,0.00%,0.00%,0.00%,21.20%,21.20%,3,芯原股份(电芯片/核心半导体) 7.36%; 海光信息(电芯片/核心半导体) 6.93%; 寒武纪(电芯片/核心半导体) 6.91%
013345,富荣信息技术混合A,混合型-偏股,0.00%,0.00%,0.00%,21.20%,21.20%,3,芯原股份(电芯片/核心半导体) 7.36%; 海光信息(电芯片/核心半导体) 6.93%; 寒武纪(电芯片/核心半导体) 6.91%
012697,同泰数字经济股票C,股票型,0.00%,3.50%,17.67%,0.00%,21.17%,4,新易盛(光芯片/光通信) 8.80%; 中际旭创(光芯片/光通信) 5.93%; 普冉股份(存储) 3.50%; 长飞光纤光缆(光芯片/光通信) 2.94%
012696,同泰数字经济股票A,股票型,0.00%,3.50%,17.67%,0.00%,21.17%,4,新易盛(光芯片/光通信) 8.80%; 中际旭创(光芯片/光通信) 5.93%; 普冉股份(存储) 3.50%; 长飞光纤光缆(光芯片/光通信) 2.94%
000061,华夏盛世混合,混合型-偏股,0.00%,0.00%,12.20%,8.95%,21.15%,4,中际旭创(光芯片/光通信) 6.15%; 新易盛(光芯片/光通信) 6.05%; 北方华创(电芯片/核心半导体) 5.00%; 海光信息(电芯片/核心半导体) 3.95%
001742,广发百发大数据精选混合E,混合型-灵活,0.00%,0.00%,6.26%,14.83%,21.09%,3,圣邦股份(电芯片/核心半导体) 7.49%; 北方华创(电芯片/核心半导体) 7.34%; 中际旭创(光芯片/光通信) 6.26%
001741,广发百发大数据精选混合A,混合型-灵活,0.00%,0.00%,6.26%,14.83%,21.09%,3,圣邦股份(电芯片/核心半导体) 7.49%; 北方华创(电芯片/核心半导体) 7.34%; 中际旭创(光芯片/光通信) 6.26%
009882,华润元大核心动力混合A,混合型-偏股,0.00%,0.00%,8.11%,12.93%,21.04%,4,中微公司(电芯片/核心半导体) 7.05%; 北方华创(电芯片/核心半导体) 5.88%; 新易盛(光芯片/光通信) 4.37%; 中际旭创(光芯片/光通信) 3.74%
009883,华润元大核心动力混合C,混合型-偏股,0.00%,0.00%,8.11%,12.93%,21.04%,4,中微公司(电芯片/核心半导体) 7.05%; 北方华创(电芯片/核心半导体) 5.88%; 新易盛(光芯片/光通信) 4.37%; 中际旭创(光芯片/光通信) 3.74%
002214,中海沪港深价值优选混合A,混合型-灵活,0.00%,0.00%,10.08%,10.94%,21.02%,5,中芯国际(电芯片/核心半导体) 5.87%; 华虹半导体(电芯片/核心半导体) 5.07%; 中际旭创(光芯片/光通信) 3.82%; 长飞光纤光缆(光芯片/光通信) 3.32%; 天孚通信(光芯片/光通信) 2.94%
020362,中海沪港深价值优选混合C,混合型-灵活,0.00%,0.00%,10.08%,10.94%,21.02%,5,中芯国际(电芯片/核心半导体) 5.87%; 华虹半导体(电芯片/核心半导体) 5.07%; 中际旭创(光芯片/光通信) 3.82%; 长飞光纤光缆(光芯片/光通信) 3.32%; 天孚通信(光芯片/光通信) 2.94%
024509,泓德上证科创板综合指数增强A,指数型-股票,0.00%,3.75%,0.00%,17.26%,21.01%,7,海光信息(电芯片/核心半导体) 5.67%; 寒武纪(电芯片/核心半导体) 4.77%; 中芯国际(电芯片/核心半导体) 3.08%; 澜起科技(存储) 2.39%; 中微公司(电芯片/核心半导体) 2.31%; 芯原股份(电芯片/核心半导体) 1.43%; 佰维存储(存储) 1.36%
024510,泓德上证科创板综合指数增强C,指数型-股票,0.00%,3.75%,0.00%,17.26%,21.01%,7,海光信息(电芯片/核心半导体) 5.67%; 寒武纪(电芯片/核心半导体) 4.77%; 中芯国际(电芯片/核心半导体) 3.08%; 澜起科技(存储) 2.39%; 中微公司(电芯片/核心半导体) 2.31%; 芯原股份(电芯片/核心半导体) 1.43%; 佰维存储(存储) 1.36%
000603,易方达创新驱动灵活配置混合,混合型-灵活,0.00%,0.00%,12.20%,8.80%,21.00%,3,天孚通信(光芯片/光通信) 9.00%; 芯原股份(电芯片/核心半导体) 8.80%; 中际旭创(光芯片/光通信) 3.20%
159997,电子ETF天弘,指数型-股票,0.00%,5.84%,0.00%,15.16%,21.00%,6,寒武纪(电芯片/核心半导体) 4.04%; 海光信息(电芯片/核心半导体) 3.75%; 北方华创(电芯片/核心半导体) 3.74%; 中芯国际(电芯片/核心半导体) 3.63%; 兆易创新(存储) 3.07%; 澜起科技(存储) 2.77%
015850,农银行业轮动混合C,混合型-偏股,0.00%,0.00%,11.18%,9.81%,20.99%,6,新易盛(光芯片/光通信) 4.26%; 寒武纪(电芯片/核心半导体) 4.09%; 中际旭创(光芯片/光通信) 3.65%; 海光信息(电芯片/核心半导体) 3.34%; 天孚通信(光芯片/光通信) 3.27%; 北方华创(电芯片/核心半导体) 2.38%
660015,农银行业轮动混合A,混合型-偏股,0.00%,0.00%,11.18%,9.81%,20.99%,6,新易盛(光芯片/光通信) 4.26%; 寒武纪(电芯片/核心半导体) 4.09%; 中际旭创(光芯片/光通信) 3.65%; 海光信息(电芯片/核心半导体) 3.34%; 天孚通信(光芯片/光通信) 3.27%; 北方华创(电芯片/核心半导体) 2.38%
009189,华宝成长策略混合A,混合型-偏股,0.00%,0.00%,18.55%,2.44%,20.99%,3,新易盛(光芯片/光通信) 9.47%; 中际旭创(光芯片/光通信) 9.08%; 海光信息(电芯片/核心半导体) 2.44%
021448,华宝成长策略混合C,混合型-偏股,0.00%,0.00%,18.55%,2.44%,20.99%,3,新易盛(光芯片/光通信) 9.47%; 中际旭创(光芯片/光通信) 9.08%; 海光信息(电芯片/核心半导体) 2.44%
005738,长城智能产业混合A,混合型-灵活,0.00%,0.00%,0.00%,20.95%,20.95%,3,海光信息(电芯片/核心半导体) 7.49%; 北方华创(电芯片/核心半导体) 7.29%; 中芯国际(电芯片/核心半导体) 6.17%
019276,长城智能产业混合C,混合型-灵活,0.00%,0.00%,0.00%,20.95%,20.95%,3,海光信息(电芯片/核心半导体) 7.49%; 北方华创(电芯片/核心半导体) 7.29%; 中芯国际(电芯片/核心半导体) 6.17%
009432,德邦科技创新一年定开混合A,混合型-偏股,0.00%,0.00%,13.43%,7.52%,20.95%,4,中际旭创(光芯片/光通信) 8.41%; 新易盛(光芯片/光通信) 5.02%; 北方华创(电芯片/核心半导体) 3.96%; 寒武纪(电芯片/核心半导体) 3.56%
009433,德邦科技创新一年定开混合C,混合型-偏股,0.00%,0.00%,13.43%,7.52%,20.95%,4,中际旭创(光芯片/光通信) 8.41%; 新易盛(光芯片/光通信) 5.02%; 北方华创(电芯片/核心半导体) 3.96%; 寒武纪(电芯片/核心半导体) 3.56%
630010,华商价值精选混合,混合型-偏股,0.00%,0.00%,12.62%,8.31%,20.93%,5,源杰科技(光芯片/光通信) 4.72%; 寒武纪(电芯片/核心半导体) 4.50%; 长芯博创(光芯片/光通信) 4.18%; 海光信息(电芯片/核心半导体) 3.81%; 光迅科技(光芯片/光通信) 3.72%
014175,工银价值成长混合A,混合型-偏股,0.00%,0.00%,14.20%,6.72%,20.92%,5,源杰科技(光芯片/光通信) 5.63%; 中际旭创(光芯片/光通信) 4.42%; 新易盛(光芯片/光通信) 4.15%; 北方华创(电芯片/核心半导体) 3.80%; 华虹半导体(电芯片/核心半导体) 2.92%
014176,工银价值成长混合C,混合型-偏股,0.00%,0.00%,14.20%,6.72%,20.92%,5,源杰科技(光芯片/光通信) 5.63%; 中际旭创(光芯片/光通信) 4.42%; 新易盛(光芯片/光通信) 4.15%; 北方华创(电芯片/核心半导体) 3.80%; 华虹半导体(电芯片/核心半导体) 2.92%
013414,太平智远三个月定开股票发起式,股票型,0.00%,2.35%,12.34%,6.14%,20.83%,4,中际旭创(光芯片/光通信) 8.14%; 华虹半导体(电芯片/核心半导体) 6.14%; 新易盛(光芯片/光通信) 4.20%; 佰维存储(存储) 2.35%
588550,科创综指增强ETF易方达,指数型-股票,0.00%,2.53%,1.89%,16.40%,20.82%,8,海光信息(电芯片/核心半导体) 5.78%; 寒武纪(电芯片/核心半导体) 4.76%; 中芯国际(电芯片/核心半导体) 2.38%; 中微公司(电芯片/核心半导体) 2.12%; 源杰科技(光芯片/光通信) 1.89%; 澜起科技(存储) 1.42%; 芯原股份(电芯片/核心半导体) 1.36%; 佰维存储(存储) 1.11%
007345,富国科技创新灵活配置混合,混合型-灵活,0.00%,0.00%,20.77%,0.00%,20.77%,3,新易盛(光芯片/光通信) 9.11%; 中际旭创(光芯片/光通信) 8.80%; 德科立(光芯片/光通信) 2.86%
017842,农银汇理景气优选混合A,混合型-偏股,0.00%,0.00%,7.31%,13.44%,20.75%,5,海光信息(电芯片/核心半导体) 5.96%; 寒武纪(电芯片/核心半导体) 4.26%; 中际旭创(光芯片/光通信) 4.06%; 新易盛(光芯片/光通信) 3.25%; 北方华创(电芯片/核心半导体) 3.22%
017843,农银汇理景气优选混合C,混合型-偏股,0.00%,0.00%,7.31%,13.44%,20.75%,5,海光信息(电芯片/核心半导体) 5.96%; 寒武纪(电芯片/核心半导体) 4.26%; 中际旭创(光芯片/光通信) 4.06%; 新易盛(光芯片/光通信) 3.25%; 北方华创(电芯片/核心半导体) 3.22%
001728,银华战略新兴定开混合,混合型-灵活,0.00%,0.00%,17.00%,3.73%,20.73%,3,新易盛(光芯片/光通信) 8.70%; 中际旭创(光芯片/光通信) 8.30%; 海光信息(电芯片/核心半导体) 3.73%
009913,中信保诚成长动力混合A,混合型-偏股,0.00%,0.00%,9.74%,10.93%,20.67%,4,中微公司(电芯片/核心半导体) 5.75%; 北方华创(电芯片/核心半导体) 5.18%; 中际旭创(光芯片/光通信) 4.99%; 新易盛(光芯片/光通信) 4.75%
014282,中信保诚成长动力混合C,混合型-偏股,0.00%,0.00%,9.74%,10.93%,20.67%,4,中微公司(电芯片/核心半导体) 5.75%; 北方华创(电芯片/核心半导体) 5.18%; 中际旭创(光芯片/光通信) 4.99%; 新易盛(光芯片/光通信) 4.75%
018000,鹏华芯片产业混合发起式A,混合型-偏股,0.00%,5.29%,0.00%,15.26%,20.55%,6,北方华创(电芯片/核心半导体) 5.97%; 澜起科技(存储) 5.29%; 海光信息(电芯片/核心半导体) 4.20%; 寒武纪(电芯片/核心半导体) 2.60%; 中芯国际(电芯片/核心半导体) 2.13%; 中芯国际(电芯片/核心半导体) 0.36%
