基金代码,基金名称,基金类型,证券代码,证券名称,口径,分类,占净值比例,原始重复行数,原始最大行序号
018464,光大睿盈混合C,混合型-偏股,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,3.94%,1,2
018471,南方津享稳健添利债券A,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.35%,1,4
018471,南方津享稳健添利债券A,债券型-混合二级,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,0.35%,1,3
018472,南方津享稳健添利债券C,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.35%,1,4
018472,南方津享稳健添利债券C,债券型-混合二级,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,0.35%,1,3
018495,融通产业趋势臻选股票C,股票型,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,4.82%,1,8
018506,创金合信益久9个月持有期债券A,债券型-混合二级,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,0.40%,1,5
018506,创金合信益久9个月持有期债券A,债券型-混合二级,00981,中芯国际,广义离岸中国AI,中国离岸半导体制造,0.37%,1,7
018507,创金合信益久9个月持有期债券C,债券型-混合二级,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,0.40%,1,5
018507,创金合信益久9个月持有期债券C,债券型-混合二级,00981,中芯国际,广义离岸中国AI,中国离岸半导体制造,0.37%,1,7
018508,创金合信益久9个月持有期债券E,债券型-混合二级,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,0.40%,1,5
018508,创金合信益久9个月持有期债券E,债券型-混合二级,00981,中芯国际,广义离岸中国AI,中国离岸半导体制造,0.37%,1,7
018523,华泰紫金恒生互联网科技业指数型发起基金(QDII)A,指数型-海外股票,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,14.48%,1,1
018523,华泰紫金恒生互联网科技业指数型发起基金(QDII)A,指数型-海外股票,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,13.61%,1,2
018523,华泰紫金恒生互联网科技业指数型发起基金(QDII)A,指数型-海外股票,01810,小米集团-W,广义离岸中国AI,中国离岸AI终端/汽车,10.28%,1,4
018523,华泰紫金恒生互联网科技业指数型发起基金(QDII)A,指数型-海外股票,09888,百度集团-SW,广义离岸中国AI,中国离岸AI/自动驾驶/云,5.11%,1,8
018523,华泰紫金恒生互联网科技业指数型发起基金(QDII)A,指数型-海外股票,09660,地平线机器人-W,广义离岸中国AI,中国离岸AI芯片/自动驾驶,2.95%,1,9
018523,华泰紫金恒生互联网科技业指数型发起基金(QDII)A,指数型-海外股票,00020,商汤-W,广义离岸中国AI,中国离岸AI软件,2.35%,1,10
