基金代码,基金名称,基金类型,证券代码,证券名称,口径,分类,占净值比例,原始重复行数,原始最大行序号
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,NVDA,英伟达,狭义海外AI,核心算力-GPU,3.34%,1,1
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,AMZN,亚马逊,狭义海外AI,AI云,2.99%,1,2
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,GOOGL,谷歌-A,狭义海外AI,AI云/大模型,2.94%,1,3
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,MSFT,微软,狭义海外AI,AI云/软件,2.76%,1,4
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,TSM,台积电,狭义海外AI,先进制程代工,2.68%,1,5
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,AVGO,博通,狭义海外AI,AI网络/ASIC,2.17%,1,7
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,MU,美光科技,狭义海外AI,AI存储/HBM,1.77%,1,8
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,LITE,Lumentum Holdings Inc,扩展海外AI,光通信器件,1.56%,1,10
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,GOOG,谷歌-C,狭义海外AI,AI云/大模型,0.41%,1,11
000043,嘉实美国成长股票人民币,QDII-普通股票,NVDA,英伟达,狭义海外AI,核心算力-GPU,9.97%,1,1
000043,嘉实美国成长股票人民币,QDII-普通股票,GOOGL,谷歌-A,狭义海外AI,AI云/大模型,6.20%,1,3
000043,嘉实美国成长股票人民币,QDII-普通股票,MSFT,微软,狭义海外AI,AI云/软件,6.17%,1,4
000043,嘉实美国成长股票人民币,QDII-普通股票,AVGO,博通,狭义海外AI,AI网络/ASIC,4.86%,1,5
000043,嘉实美国成长股票人民币,QDII-普通股票,AMZN,亚马逊,狭义海外AI,AI云,4.04%,1,6
000043,嘉实美国成长股票人民币,QDII-普通股票,GOOG,谷歌-C,狭义海外AI,AI云/大模型,2.90%,1,8
000043,嘉实美国成长股票人民币,QDII-普通股票,META,Meta Platforms Inc-A,狭义海外AI,AI平台,2.84%,1,9
000043,嘉实美国成长股票人民币,QDII-普通股票,TSM,台积电,狭义海外AI,先进制程代工,1.82%,1,11
000044,嘉实美国成长股票美元现汇,QDII-普通股票,NVDA,英伟达,狭义海外AI,核心算力-GPU,9.97%,1,1
000044,嘉实美国成长股票美元现汇,QDII-普通股票,GOOGL,谷歌-A,狭义海外AI,AI云/大模型,6.20%,1,3
000044,嘉实美国成长股票美元现汇,QDII-普通股票,MSFT,微软,狭义海外AI,AI云/软件,6.17%,1,4
000044,嘉实美国成长股票美元现汇,QDII-普通股票,AVGO,博通,狭义海外AI,AI网络/ASIC,4.86%,1,5
000044,嘉实美国成长股票美元现汇,QDII-普通股票,AMZN,亚马逊,狭义海外AI,AI云,4.04%,1,6
000044,嘉实美国成长股票美元现汇,QDII-普通股票,GOOG,谷歌-C,狭义海外AI,AI云/大模型,2.90%,1,8
000044,嘉实美国成长股票美元现汇,QDII-普通股票,META,Meta Platforms Inc-A,狭义海外AI,AI平台,2.84%,1,9
000044,嘉实美国成长股票美元现汇,QDII-普通股票,TSM,台积电,狭义海外AI,先进制程代工,1.82%,1,11
000118,广发聚鑫债券A,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,2.23%,1,2
000118,广发聚鑫债券A,债券型-混合二级,02228,晶泰控股,广义离岸中国AI,中国离岸AI制药,0.67%,1,9
000119,广发聚鑫债券C,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,2.23%,1,2
000119,广发聚鑫债券C,债券型-混合二级,02228,晶泰控股,广义离岸中国AI,中国离岸AI制药,0.67%,1,9
000551,中信保诚幸福消费混合A,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,4.82%,1,2
000551,中信保诚幸福消费混合A,混合型-偏股,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,3.71%,1,6
000593,易方达标普消费品指数美元现汇A,指数型-海外股票,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,2.84%,1,9
000593,易方达标普消费品指数美元现汇A,指数型-海外股票,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,1.05%,1,15
000761,国富健康优质生活股票,股票型,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,7.53%,1,1
000761,国富健康优质生活股票,股票型,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,5.72%,1,2
000906,广发全球精选股票(QDII)美元A,QDII-普通股票,ASML,阿斯麦,狭义海外AI,半导体设备,5.21%,1,1
000906,广发全球精选股票(QDII)美元A,QDII-普通股票,GOOG,谷歌-C,狭义海外AI,AI云/大模型,4.94%,1,3
000906,广发全球精选股票(QDII)美元A,QDII-普通股票,NVDA,英伟达,狭义海外AI,核心算力-GPU,4.47%,1,4
000906,广发全球精选股票(QDII)美元A,QDII-普通股票,AMZN,亚马逊,狭义海外AI,AI云,4.02%,1,6
000906,广发全球精选股票(QDII)美元A,QDII-普通股票,LRCX,拉姆研究,狭义海外AI,半导体设备,4.01%,1,7
000906,广发全球精选股票(QDII)美元A,QDII-普通股票,SNDK,闪迪,扩展海外AI,AI存储,3.54%,1,8
000906,广发全球精选股票(QDII)美元A,QDII-普通股票,AVGO,博通,狭义海外AI,AI网络/ASIC,3.27%,1,9
000906,广发全球精选股票(QDII)美元A,QDII-普通股票,MU,美光科技,狭义海外AI,AI存储/HBM,3.26%,1,10
000906,广发全球精选股票(QDII)美元A,QDII-普通股票,GOOGL,谷歌-A,狭义海外AI,AI云/大模型,0.02%,1,11
000927,博时大中华亚太精选美元现汇,QDII-普通股票,2330,台积电,狭义海外AI,先进制程代工,7.43%,1,1
000927,博时大中华亚太精选美元现汇,QDII-普通股票,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,5.05%,1,3
000927,博时大中华亚太精选美元现汇,QDII-普通股票,2454,联发科,扩展海外AI,边缘AI芯片,3.95%,1,6
000927,博时大中华亚太精选美元现汇,QDII-普通股票,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,3.89%,1,7
000934,国富大中华精选混合,QDII-混合偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,5.54%,1,1
000934,国富大中华精选混合,QDII-混合偏股,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,5.21%,1,2
000934,国富大中华精选混合,QDII-混合偏股,03896,金山云,广义离岸中国AI,中国离岸云计算,2.70%,1,4
000934,国富大中华精选混合,QDII-混合偏股,2330,台积电,狭义海外AI,先进制程代工,2.25%,1,7
000934,国富大中华精选混合,QDII-混合偏股,TSM,台积电,狭义海外AI,先进制程代工,2.11%,1,9
000948,华夏沪港通恒生ETF联接A,指数型-股票,00981,中芯国际,广义离岸中国AI,中国离岸半导体制造,0.00%,1,4
000979,景顺长城沪港深精选股票A,股票型,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,4.98%,1,7
000988,嘉实全球互联网股票人民币,QDII-普通股票,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,7.44%,1,2
000988,嘉实全球互联网股票人民币,QDII-普通股票,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,7.32%,1,3
000988,嘉实全球互联网股票人民币,QDII-普通股票,GOOG,谷歌-C,狭义海外AI,AI云/大模型,4.23%,1,7
000988,嘉实全球互联网股票人民币,QDII-普通股票,GOOGL,谷歌-A,狭义海外AI,AI云/大模型,3.68%,1,10
000988,嘉实全球互联网股票人民币,QDII-普通股票,NVDA,英伟达,狭义海外AI,核心算力-GPU,3.26%,1,11
000989,嘉实全球互联网股票美元现汇,QDII-普通股票,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,7.44%,1,2
000989,嘉实全球互联网股票美元现汇,QDII-普通股票,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,7.32%,1,3
000989,嘉实全球互联网股票美元现汇,QDII-普通股票,GOOG,谷歌-C,狭义海外AI,AI云/大模型,4.23%,1,7
000989,嘉实全球互联网股票美元现汇,QDII-普通股票,GOOGL,谷歌-A,狭义海外AI,AI云/大模型,3.68%,1,10
000989,嘉实全球互联网股票美元现汇,QDII-普通股票,NVDA,英伟达,狭义海外AI,核心算力-GPU,3.26%,1,11
000990,嘉实全球互联网股票美元现钞,QDII-普通股票,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,7.44%,1,2
000990,嘉实全球互联网股票美元现钞,QDII-普通股票,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,7.32%,1,3
000990,嘉实全球互联网股票美元现钞,QDII-普通股票,GOOG,谷歌-C,狭义海外AI,AI云/大模型,4.23%,1,7
000990,嘉实全球互联网股票美元现钞,QDII-普通股票,GOOGL,谷歌-A,狭义海外AI,AI云/大模型,3.68%,1,10
000990,嘉实全球互联网股票美元现钞,QDII-普通股票,NVDA,英伟达,狭义海外AI,核心算力-GPU,3.26%,1,11
001215,博时沪港深优质企业基金A,混合型-灵活,00981,中芯国际,广义离岸中国AI,中国离岸半导体制造,8.04%,1,1
001215,博时沪港深优质企业基金A,混合型-灵活,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,5.61%,1,4
001371,富国沪港深价值混合A,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,8.22%,1,1
001371,富国沪港深价值混合A,混合型-灵活,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,6.05%,1,3
001392,国富金融地产混合A,混合型-灵活,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,3.18%,1,10
001393,国富金融地产混合C,混合型-灵活,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,3.18%,1,10
001581,华安沪港深通精选灵活配置混合A,混合型-灵活,03896,金山云,广义离岸中国AI,中国离岸云计算,3.18%,1,4
001581,华安沪港深通精选灵活配置混合A,混合型-灵活,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,3.13%,1,5
001605,国富沪港深成长精选股票A,股票型,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,3.98%,1,2
001605,国富沪港深成长精选股票A,股票型,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,3.48%,1,3
001605,国富沪港深成长精选股票A,股票型,03896,金山云,广义离岸中国AI,中国离岸云计算,2.79%,1,9
001662,创金合信沪港深精选混合,混合型-灵活,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,3.27%,1,1
001662,创金合信沪港深精选混合,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,2.87%,1,2
001668,汇添富全球移动互联混合(QDII)人民币A,QDII-混合灵活,NVDA,英伟达,狭义海外AI,核心算力-GPU,8.96%,1,1
001668,汇添富全球移动互联混合(QDII)人民币A,QDII-混合灵活,GOOGL,谷歌-A,狭义海外AI,AI云/大模型,8.14%,1,2
001668,汇添富全球移动互联混合(QDII)人民币A,QDII-混合灵活,MSFT,微软,狭义海外AI,AI云/软件,5.00%,1,3
001668,汇添富全球移动互联混合(QDII)人民币A,QDII-混合灵活,AMZN,亚马逊,狭义海外AI,AI云,4.84%,1,4
001668,汇添富全球移动互联混合(QDII)人民币A,QDII-混合灵活,AVGO,博通,狭义海外AI,AI网络/ASIC,3.89%,1,6
001668,汇添富全球移动互联混合(QDII)人民币A,QDII-混合灵活,META,Meta Platforms Inc-A,狭义海外AI,AI平台,3.48%,1,7
001668,汇添富全球移动互联混合(QDII)人民币A,QDII-混合灵活,TSM,台积电,狭义海外AI,先进制程代工,3.34%,1,8
001668,汇添富全球移动互联混合(QDII)人民币A,QDII-混合灵活,MU,美光科技,狭义海外AI,AI存储/HBM,2.21%,1,10
001685,汇添富沪港深新价值股票,股票型,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,6.53%,1,2
001691,南方香港成长灵活配置混合,QDII-混合灵活,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,7.83%,1,1
001691,南方香港成长灵活配置混合,QDII-混合灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,7.78%,1,2
001694,华安沪港深外延增长灵活配置混合A,混合型-灵活,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,4.95%,1,1
001694,华安沪港深外延增长灵活配置混合A,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,3.64%,1,8
001715,工银新焦点混合A,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,4.00%,1,6
001715,工银新焦点混合A,混合型-灵活,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,3.11%,1,8
001764,广发沪港深新机遇股票,股票型,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,5.44%,1,4
001764,广发沪港深新机遇股票,股票型,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,4.92%,1,7
001811,中欧明睿新常态混合A,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,6.66%,1,5
001827,富国研究优选沪港深灵活配置混合A,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,4.48%,1,8
001837,前海开源沪港深蓝筹精选混合A,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,9.15%,1,4
001837,前海开源沪港深蓝筹精选混合A,混合型-灵活,01810,小米集团-W,广义离岸中国AI,中国离岸AI终端/汽车,4.81%,1,8
001874,前海开源沪港深价值精选混合,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,9.15%,1,4
001874,前海开源沪港深价值精选混合,混合型-灵活,01810,小米集团-W,广义离岸中国AI,中国离岸AI终端/汽车,4.81%,1,8
001875,前海开源沪港深优势精选混合A,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,9.16%,1,4
001875,前海开源沪港深优势精选混合A,混合型-灵活,01810,小米集团-W,广义离岸中国AI,中国离岸AI终端/汽车,4.83%,1,8
001877,宝盈国家安全沪港深股票A,股票型,01347,华虹半导体,广义离岸中国AI,中国离岸半导体制造,4.31%,1,7
001878,嘉实沪港深精选股票,股票型,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,4.90%,1,6
001972,前海开源沪港深智慧生活混合,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,8.93%,1,1
001972,前海开源沪港深智慧生活混合,混合型-灵活,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,5.08%,1,8
001980,中欧量化驱动混合A,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,1.82%,1,1
001980,中欧量化驱动混合A,混合型-偏股,01347,华虹半导体,广义离岸中国AI,中国离岸半导体制造,0.29%,1,10
001998,工银新焦点混合C,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,4.00%,1,6
001998,工银新焦点混合C,混合型-灵活,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,3.11%,1,8
002121,广发沪港深新起点股票A,股票型,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,7.04%,1,2
002121,广发沪港深新起点股票A,股票型,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,5.55%,1,4
002121,广发沪港深新起点股票A,股票型,01347,华虹半导体,广义离岸中国AI,中国离岸半导体制造,4.49%,1,6
002214,中海沪港深价值优选混合A,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,8.52%,1,1
002214,中海沪港深价值优选混合A,混合型-灵活,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,8.16%,1,2
002214,中海沪港深价值优选混合A,混合型-灵活,00981,中芯国际,广义离岸中国AI,中国离岸半导体制造,5.87%,1,3
002214,中海沪港深价值优选混合A,混合型-灵活,01347,华虹半导体,广义离岸中国AI,中国离岸半导体制造,5.07%,1,4
002214,中海沪港深价值优选混合A,混合型-灵活,01810,小米集团-W,广义离岸中国AI,中国离岸AI终端/汽车,3.72%,1,6
002230,华夏大中华混合(QDII),QDII-混合灵活,TSM,台积电,狭义海外AI,先进制程代工,7.96%,1,2
002230,华夏大中华混合(QDII),QDII-混合灵活,NVDA,英伟达,狭义海外AI,核心算力-GPU,7.30%,1,3
002230,华夏大中华混合(QDII),QDII-混合灵活,MU,美光科技,狭义海外AI,AI存储/HBM,6.35%,1,4
002230,华夏大中华混合(QDII),QDII-混合灵活,LITE,Lumentum Holdings Inc,扩展海外AI,光通信器件,4.83%,1,6
002230,华夏大中华混合(QDII),QDII-混合灵活,SNDK,闪迪,扩展海外AI,AI存储,4.43%,1,8
002332,汇丰晋信沪港深A,股票型,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,6.02%,1,2
002333,汇丰晋信沪港深C,股票型,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,6.02%,1,2
002379,工银香港中小盘人民币,QDII-普通股票,09888,百度集团-SW,广义离岸中国AI,中国离岸AI/自动驾驶/云,4.35%,1,8
002379,工银香港中小盘人民币,QDII-普通股票,00992,联想集团,广义离岸中国AI,中国离岸AI PC/服务器,3.81%,1,9
002380,工银香港中小盘美元,QDII-普通股票,09888,百度集团-SW,广义离岸中国AI,中国离岸AI/自动驾驶/云,4.35%,1,8
002380,工银香港中小盘美元,QDII-普通股票,00992,联想集团,广义离岸中国AI,中国离岸AI PC/服务器,3.81%,1,9
002387,工银沪港深股票A,股票型,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,9.48%,1,1
002387,工银沪港深股票A,股票型,00981,中芯国际,广义离岸中国AI,中国离岸半导体制造,5.15%,1,3
002387,工银沪港深股票A,股票型,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,5.05%,1,5
002423,华宝标普美国消费美元,指数型-海外股票,AMZN,亚马逊,狭义海外AI,AI云,22.37%,1,1
002443,前海开源沪港深龙头精选混合A,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,8.99%,1,2
002482,宝盈互联网沪港深混合,混合型-灵活,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,7.21%,1,4
002482,宝盈互联网沪港深混合,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,3.74%,1,9
002555,博时沪港深优质企业基金C,混合型-灵活,00981,中芯国际,广义离岸中国AI,中国离岸半导体制造,8.04%,1,1
002555,博时沪港深优质企业基金C,混合型-灵活,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,5.61%,1,4
002653,泰康沪港深精选混合,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,6.02%,1,1
002653,泰康沪港深精选混合,混合型-灵活,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,3.55%,1,7
002662,前海开源沪港深大消费混合A,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,8.46%,1,2
002663,前海开源沪港深大消费混合C,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,8.46%,1,2
002685,中欧丰泓沪港深混合A,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,8.90%,1,1
002685,中欧丰泓沪港深混合A,混合型-灵活,01347,华虹半导体,广义离岸中国AI,中国离岸半导体制造,6.83%,1,7
002686,中欧丰泓沪港深混合C,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,8.90%,1,1
002686,中欧丰泓沪港深混合C,混合型-灵活,01347,华虹半导体,广义离岸中国AI,中国离岸半导体制造,6.83%,1,7
002860,前海开源沪港深新机遇混合A,混合型-灵活,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,3.05%,1,10
002891,华夏移动互联混合人民币,QDII-混合灵活,SNDK,闪迪,扩展海外AI,AI存储,7.13%,1,2
002891,华夏移动互联混合人民币,QDII-混合灵活,MU,美光科技,狭义海外AI,AI存储/HBM,6.58%,1,3
002891,华夏移动互联混合人民币,QDII-混合灵活,LITE,Lumentum Holdings Inc,扩展海外AI,光通信器件,5.79%,1,5
002891,华夏移动互联混合人民币,QDII-混合灵活,GLW,康宁,扩展海外AI,光纤/材料,5.12%,1,6
002891,华夏移动互联混合人民币,QDII-混合灵活,GOOGL,谷歌-A,狭义海外AI,AI云/大模型,4.76%,1,7
002891,华夏移动互联混合人民币,QDII-混合灵活,NVDA,英伟达,狭义海外AI,核心算力-GPU,4.11%,1,8
002891,华夏移动互联混合人民币,QDII-混合灵活,INTC,英特尔,扩展海外AI,半导体,3.45%,1,9
002892,华夏移动互联混合美元现汇,QDII-混合灵活,SNDK,闪迪,扩展海外AI,AI存储,7.13%,1,2
002892,华夏移动互联混合美元现汇,QDII-混合灵活,MU,美光科技,狭义海外AI,AI存储/HBM,6.58%,1,3
002892,华夏移动互联混合美元现汇,QDII-混合灵活,LITE,Lumentum Holdings Inc,扩展海外AI,光通信器件,5.79%,1,5
002892,华夏移动互联混合美元现汇,QDII-混合灵活,GLW,康宁,扩展海外AI,光纤/材料,5.12%,1,6
002892,华夏移动互联混合美元现汇,QDII-混合灵活,GOOGL,谷歌-A,狭义海外AI,AI云/大模型,4.76%,1,7
002892,华夏移动互联混合美元现汇,QDII-混合灵活,NVDA,英伟达,狭义海外AI,核心算力-GPU,4.11%,1,8
002892,华夏移动互联混合美元现汇,QDII-混合灵活,INTC,英特尔,扩展海外AI,半导体,3.45%,1,9
002893,华夏移动互联混合美元现钞,QDII-混合灵活,SNDK,闪迪,扩展海外AI,AI存储,7.13%,1,2
002893,华夏移动互联混合美元现钞,QDII-混合灵活,MU,美光科技,狭义海外AI,AI存储/HBM,6.58%,1,3
002893,华夏移动互联混合美元现钞,QDII-混合灵活,LITE,Lumentum Holdings Inc,扩展海外AI,光通信器件,5.79%,1,5
002893,华夏移动互联混合美元现钞,QDII-混合灵活,GLW,康宁,扩展海外AI,光纤/材料,5.12%,1,6
002893,华夏移动互联混合美元现钞,QDII-混合灵活,GOOGL,谷歌-A,狭义海外AI,AI云/大模型,4.76%,1,7
002893,华夏移动互联混合美元现钞,QDII-混合灵活,NVDA,英伟达,狭义海外AI,核心算力-GPU,4.11%,1,8
002893,华夏移动互联混合美元现钞,QDII-混合灵活,INTC,英特尔,扩展海外AI,半导体,3.45%,1,9
003044,东方红战略精选混合A,混合型-偏债,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,1.88%,1,1
003044,东方红战略精选混合A,混合型-偏债,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,1.07%,1,4
003045,东方红战略精选混合C,混合型-偏债,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,1.88%,1,1
003045,东方红战略精选混合C,混合型-偏债,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,1.07%,1,4
003378,泰康策略优选混合,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,8.61%,1,1
003413,华泰柏瑞新经济沪港深混合A,混合型-灵活,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,6.23%,1,5
003580,泰康沪港深价值优选混合,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,6.04%,1,1
003580,泰康沪港深价值优选混合,混合型-灵活,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,3.83%,1,5
003718,易方达标普500指数美元汇A,指数型-海外股票,NVDA,英伟达,狭义海外AI,核心算力-GPU,6.60%,1,1
003718,易方达标普500指数美元汇A,指数型-海外股票,MSFT,微软,狭义海外AI,AI云/软件,4.28%,1,3
003718,易方达标普500指数美元汇A,指数型-海外股票,AMZN,亚马逊,狭义海外AI,AI云,3.17%,1,4
003718,易方达标普500指数美元汇A,指数型-海外股票,GOOGL,谷歌-A,狭义海外AI,AI云/大模型,2.61%,1,5
003718,易方达标普500指数美元汇A,指数型-海外股票,AVGO,博通,狭义海外AI,AI网络/ASIC,2.29%,1,6
003718,易方达标普500指数美元汇A,指数型-海外股票,GOOG,谷歌-C,狭义海外AI,AI云/大模型,2.09%,1,7
003718,易方达标普500指数美元汇A,指数型-海外股票,META,Meta Platforms Inc-A,狭义海外AI,AI平台,1.95%,1,8
003721,易方达标普信息科技指数(QDII-LOF)A(美元现汇),指数型-海外股票,NVDA,英伟达,狭义海外AI,核心算力-GPU,20.16%,1,1
003721,易方达标普信息科技指数(QDII-LOF)A(美元现汇),指数型-海外股票,MSFT,微软,狭义海外AI,AI云/软件,13.08%,1,3
003721,易方达标普信息科技指数(QDII-LOF)A(美元现汇),指数型-海外股票,AVGO,博通,狭义海外AI,AI网络/ASIC,6.98%,1,4
003721,易方达标普信息科技指数(QDII-LOF)A(美元现汇),指数型-海外股票,MU,美光科技,狭义海外AI,AI存储/HBM,1.81%,1,5
003721,易方达标普信息科技指数(QDII-LOF)A(美元现汇),指数型-海外股票,PLTR,Palantir Technologies Inc-A,狭义海外AI,AI软件,1.59%,1,6
003721,易方达标普信息科技指数(QDII-LOF)A(美元现汇),指数型-海外股票,AMD,超威半导体,狭义海外AI,核心算力-GPU,1.58%,1,7
003721,易方达标普信息科技指数(QDII-LOF)A(美元现汇),指数型-海外股票,AMAT,应用材料,狭义海外AI,半导体设备,1.29%,1,9
003721,易方达标普信息科技指数(QDII-LOF)A(美元现汇),指数型-海外股票,LRCX,拉姆研究,狭义海外AI,半导体设备,1.27%,1,10
004091,博时沪港深价值优选A,混合型-灵活,00981,中芯国际,广义离岸中国AI,中国离岸半导体制造,3.68%,1,7
004092,博时沪港深价值优选C,混合型-灵活,00981,中芯国际,广义离岸中国AI,中国离岸半导体制造,3.68%,1,7
004098,前海开源港股通股息率50强,股票型,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,4.39%,1,2
004098,前海开源港股通股息率50强,股票型,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,3.31%,1,9
004099,前海开源沪港深景气行业精选混合,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,9.04%,1,2
004249,安信中国制造混合A,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,6.42%,1,4
004263,华安沪港深机会灵活配置混合,混合型-灵活,00981,中芯国际,广义离岸中国AI,中国离岸半导体制造,5.02%,1,7
004263,华安沪港深机会灵活配置混合,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,4.40%,1,10
004266,招商沪港深科技创新混合A,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,5.89%,1,1
004266,招商沪港深科技创新混合A,混合型-灵活,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,2.23%,1,7
004278,东方红智逸沪港深定开混合,混合型-偏债,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,2.57%,1,1
004278,东方红智逸沪港深定开混合,混合型-偏债,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,1.77%,1,2
004292,鹏华沪深港互联网股票,股票型,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,9.53%,1,1
004292,鹏华沪深港互联网股票,股票型,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,9.37%,1,2
004292,鹏华沪深港互联网股票,股票型,01347,华虹半导体,广义离岸中国AI,中国离岸半导体制造,8.32%,1,3
004292,鹏华沪深港互联网股票,股票型,00981,中芯国际,广义离岸中国AI,中国离岸半导体制造,5.82%,1,5
004340,泰康兴泰回报沪港深混合A,混合型-偏债,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,8.47%,1,1
