基金代码,基金名称,基金类型,AXTI占比,海外存储占比,海外光芯片/光通信占比,海外电芯片/核心半导体占比,海外合计占比,匹配持仓数,核心持仓摘要
513980,港股科技ETF景顺,指数型-股票,0.00%,0.00%,0.00%,6.14%,6.14%,1,中芯国际(电芯片/核心半导体) 6.14%
520530,港股通科技ETF东财,指数型-股票,0.00%,0.00%,0.00%,6.14%,6.14%,1,中芯国际(电芯片/核心半导体) 6.14%
006257,信澳先进智造股票型A,股票型,0.00%,0.00%,0.00%,6.13%,6.13%,1,华虹半导体(电芯片/核心半导体) 6.13%
010519,华夏先锋科技一年定开混合C,混合型-偏股,0.00%,0.00%,0.00%,6.13%,6.13%,1,中芯国际(电芯片/核心半导体) 6.13%
010518,华夏先锋科技一年定开混合A,混合型-偏股,0.00%,0.00%,0.00%,6.13%,6.13%,1,中芯国际(电芯片/核心半导体) 6.13%
014840,招商裕华混合,混合型-偏股,0.00%,0.00%,0.00%,6.13%,6.13%,2,中芯国际(电芯片/核心半导体) 3.59%; 华虹半导体(电芯片/核心半导体) 2.54%
024166,西部利得恒生科技指数(QDII)A,指数型-海外股票,0.00%,0.00%,0.00%,6.13%,6.13%,1,中芯国际(电芯片/核心半导体) 6.13%
024167,西部利得恒生科技指数(QDII)C,指数型-海外股票,0.00%,0.00%,0.00%,6.13%,6.13%,1,中芯国际(电芯片/核心半导体) 6.13%
024169,信澳先进智造股票型C,股票型,0.00%,0.00%,0.00%,6.13%,6.13%,1,华虹半导体(电芯片/核心半导体) 6.13%
012502,银华安盛混合,混合型-偏股,0.00%,0.00%,0.00%,6.10%,6.10%,1,中芯国际(电芯片/核心半导体) 6.10%
161132,易方达科顺定开混合,混合型-灵活,0.00%,0.00%,6.09%,0.00%,6.09%,1,长飞光纤光缆(光芯片/光通信) 6.09%
024148,长城恒生科技指数(QDII)A,指数型-海外股票,0.00%,0.00%,0.00%,6.07%,6.07%,1,中芯国际(电芯片/核心半导体) 6.07%
024149,长城恒生科技指数(QDII)C,指数型-海外股票,0.00%,0.00%,0.00%,6.07%,6.07%,1,中芯国际(电芯片/核心半导体) 6.07%
018442,汇添富成长领航混合A,混合型-偏股,0.00%,0.00%,0.00%,6.06%,6.06%,1,华虹半导体(电芯片/核心半导体) 6.06%
018443,汇添富成长领航混合C,混合型-偏股,0.00%,0.00%,0.00%,6.06%,6.06%,1,华虹半导体(电芯片/核心半导体) 6.06%
513150,港股通科技ETF华泰柏瑞,指数型-股票,0.00%,0.00%,0.00%,6.06%,6.06%,1,中芯国际(电芯片/核心半导体) 6.06%
023034,中欧恒生科技指数发起(QDII)A,指数型-海外股票,0.00%,0.00%,0.00%,6.05%,6.05%,1,中芯国际(电芯片/核心半导体) 6.05%
023035,中欧恒生科技指数发起(QDII)C,指数型-海外股票,0.00%,0.00%,0.00%,6.05%,6.05%,1,中芯国际(电芯片/核心半导体) 6.05%
016165,汇添富优势企业精选混合A,混合型-偏股,0.00%,0.00%,6.04%,0.00%,6.04%,1,长飞光纤光缆(光芯片/光通信) 6.04%
016173,汇添富优势企业精选混合C,混合型-偏股,0.00%,0.00%,6.04%,0.00%,6.04%,1,长飞光纤光缆(光芯片/光通信) 6.04%
513560,香港科技ETF兴银,指数型-股票,0.00%,0.00%,0.00%,6.04%,6.04%,1,中芯国际(电芯片/核心半导体) 6.04%
012208,华夏港股前沿经济混合(QDII)A,QDII-混合偏股,0.00%,0.00%,0.00%,6.02%,6.02%,1,中芯国际(电芯片/核心半导体) 6.02%
012209,华夏港股前沿经济混合(QDII)C,QDII-混合偏股,0.00%,0.00%,0.00%,6.02%,6.02%,1,中芯国际(电芯片/核心半导体) 6.02%
012570,建信恒生科技指数发起(QDII)A,指数型-海外股票,0.00%,0.00%,0.00%,6.02%,6.02%,1,中芯国际(电芯片/核心半导体) 6.02%
012571,建信恒生科技指数发起(QDII)C,指数型-海外股票,0.00%,0.00%,0.00%,6.02%,6.02%,1,中芯国际(电芯片/核心半导体) 6.02%
024848,国投瑞银中证港股通科技指数发起式C,指数型-股票,0.00%,0.00%,0.00%,6.02%,6.02%,1,中芯国际(电芯片/核心半导体) 6.02%
024847,国投瑞银中证港股通科技指数发起式A,指数型-股票,0.00%,0.00%,0.00%,6.02%,6.02%,1,中芯国际(电芯片/核心半导体) 6.02%
159751,港股通科技ETF鹏华,指数型-股票,0.00%,0.00%,0.00%,6.01%,6.01%,1,中芯国际(电芯片/核心半导体) 6.01%
026206,宝盈恒生科技指数(QDII)A,指数型-海外股票,0.00%,0.00%,0.00%,5.99%,5.99%,1,中芯国际(电芯片/核心半导体) 5.99%
026207,宝盈恒生科技指数(QDII)C,指数型-海外股票,0.00%,0.00%,0.00%,5.99%,5.99%,1,中芯国际(电芯片/核心半导体) 5.99%
009009,平安科技创新混合C,混合型-偏股,0.00%,0.00%,5.95%,0.00%,5.95%,1,长飞光纤光缆(光芯片/光通信) 5.95%
009008,平安科技创新混合A,混合型-偏股,0.00%,0.00%,5.95%,0.00%,5.95%,1,长飞光纤光缆(光芯片/光通信) 5.95%
020469,长城半导体混合发起式A,混合型-偏股,0.00%,0.00%,0.00%,5.94%,5.94%,1,中芯国际(电芯片/核心半导体) 5.94%
020470,长城半导体混合发起式C,混合型-偏股,0.00%,0.00%,0.00%,5.94%,5.94%,1,中芯国际(电芯片/核心半导体) 5.94%
014192,广发先进制造股票发起式C,股票型,0.00%,0.00%,5.93%,0.00%,5.93%,1,长飞光纤光缆(光芯片/光通信) 5.93%
014191,广发先进制造股票发起式A,股票型,0.00%,0.00%,5.93%,0.00%,5.93%,1,长飞光纤光缆(光芯片/光通信) 5.93%
010127,平安价值成长混合C,混合型-偏股,0.00%,0.00%,5.91%,0.00%,5.91%,1,长飞光纤光缆(光芯片/光通信) 5.91%
010126,平安价值成长混合A,混合型-偏股,0.00%,0.00%,5.91%,0.00%,5.91%,1,长飞光纤光缆(光芯片/光通信) 5.91%
010662,富国均衡优选混合,混合型-偏股,0.00%,0.00%,0.00%,5.91%,5.91%,1,中芯国际(电芯片/核心半导体) 5.91%
012150,诺德价值发现一年持有混合,混合型-偏股,0.00%,0.00%,0.00%,5.89%,5.89%,1,中芯国际(电芯片/核心半导体) 5.89%
025673,鑫元港股通领航混合C,混合型-偏股,0.00%,0.00%,0.00%,5.86%,5.86%,1,华虹半导体(电芯片/核心半导体) 5.86%
025674,鑫元港股通领航混合A,混合型-偏股,0.00%,0.00%,0.00%,5.86%,5.86%,1,华虹半导体(电芯片/核心半导体) 5.86%
010109,富国价值增长混合A,混合型-偏股,0.00%,0.00%,5.85%,0.00%,5.85%,1,长飞光纤光缆(光芯片/光通信) 5.85%
015689,富国价值增长混合C,混合型-偏股,0.00%,0.00%,5.85%,0.00%,5.85%,1,长飞光纤光缆(光芯片/光通信) 5.85%
513170,恒生央企ETF鹏华,指数型-海外股票,0.00%,0.00%,0.00%,5.85%,5.85%,1,中芯国际(电芯片/核心半导体) 5.85%
014483,华夏融盛可持续一年持有混合C,混合型-偏股,0.00%,0.00%,0.00%,5.84%,5.84%,1,中芯国际(电芯片/核心半导体) 5.84%
014482,华夏融盛可持续一年持有混合A,混合型-偏股,0.00%,0.00%,0.00%,5.84%,5.84%,1,中芯国际(电芯片/核心半导体) 5.84%
026174,路博迈港股通科技股票C,股票型,0.00%,0.00%,2.46%,3.34%,5.80%,2,中芯国际(电芯片/核心半导体) 3.34%; 长飞光纤光缆(光芯片/光通信) 2.46%
026173,路博迈港股通科技股票A,股票型,0.00%,0.00%,2.46%,3.34%,5.80%,2,中芯国际(电芯片/核心半导体) 3.34%; 长飞光纤光缆(光芯片/光通信) 2.46%
021892,融通中证港股通科技指数C,指数型-股票,0.00%,0.00%,0.00%,5.75%,5.75%,1,中芯国际(电芯片/核心半导体) 5.75%
021891,融通中证港股通科技指数A,指数型-股票,0.00%,0.00%,0.00%,5.75%,5.75%,1,中芯国际(电芯片/核心半导体) 5.75%
025880,汇添富科技领先混合A,混合型-偏股,0.00%,0.00%,5.75%,0.00%,5.75%,1,长飞光纤光缆(光芯片/光通信) 5.75%
025881,汇添富科技领先混合C,混合型-偏股,0.00%,0.00%,5.75%,0.00%,5.75%,1,长飞光纤光缆(光芯片/光通信) 5.75%
012383,宏利新兴景气龙头混合C,混合型-偏股,0.00%,0.00%,5.71%,0.00%,5.71%,1,长飞光纤光缆(光芯片/光通信) 5.71%
012382,宏利新兴景气龙头混合A,混合型-偏股,0.00%,0.00%,5.71%,0.00%,5.71%,1,长飞光纤光缆(光芯片/光通信) 5.71%
016243,广发成长领航一年持有混合A,混合型-偏股,0.00%,0.00%,5.70%,0.00%,5.70%,1,长飞光纤光缆(光芯片/光通信) 5.70%
016244,广发成长领航一年持有混合C,混合型-偏股,0.00%,0.00%,5.70%,0.00%,5.70%,1,长飞光纤光缆(光芯片/光通信) 5.70%
018430,摩根世代趋势混合发起式A,混合型-偏股,0.00%,0.00%,5.70%,0.00%,5.70%,1,长飞光纤光缆(光芯片/光通信) 5.70%
018431,摩根世代趋势混合发起式C,混合型-偏股,0.00%,0.00%,5.70%,0.00%,5.70%,1,长飞光纤光缆(光芯片/光通信) 5.70%
016709,泉果旭源三年持有期混合A,混合型-偏股,0.00%,0.00%,0.00%,5.65%,5.65%,1,中芯国际(电芯片/核心半导体) 5.65%
016710,泉果旭源三年持有期混合C,混合型-偏股,0.00%,0.00%,0.00%,5.65%,5.65%,1,中芯国际(电芯片/核心半导体) 5.65%
015230,华夏低碳经济一年持有混合C,混合型-偏股,0.00%,0.00%,5.61%,0.00%,5.61%,1,长飞光纤光缆(光芯片/光通信) 5.61%
015229,华夏低碳经济一年持有混合A,混合型-偏股,0.00%,0.00%,5.61%,0.00%,5.61%,1,长飞光纤光缆(光芯片/光通信) 5.61%
012454,淳厚鑫悦混合A,混合型-偏股,0.00%,0.00%,5.60%,0.00%,5.60%,1,长飞光纤光缆(光芯片/光通信) 5.60%
012455,淳厚鑫悦混合C,混合型-偏股,0.00%,0.00%,5.60%,0.00%,5.60%,1,长飞光纤光缆(光芯片/光通信) 5.60%
009492,宝盈创新驱动股票C,股票型,0.00%,0.00%,0.00%,5.56%,5.56%,1,华虹半导体(电芯片/核心半导体) 5.56%
009491,宝盈创新驱动股票A,股票型,0.00%,0.00%,0.00%,5.56%,5.56%,1,华虹半导体(电芯片/核心半导体) 5.56%
